;height;href;lat;long;name;norm_name;norm_reg;okato;oktmo;people;phone_code;post_index;square;timezone
938;121;https://ru.wikipedia.org/wiki/%D0%9E%D0%B4%D0%B5%D1%81%D1%81%D0%BA%D0%BE%D0%B5;54.21138889;72.96361111;Одесское;Одесское;Омская;52 242 813 001;52642413101;6148;+7 381 5 9 x-xx-xx;646860;0;UTC+6
347;0;https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B6%D0%B5%D0%B3%D0%B0;60.46666667;40.2;Вожега;Вожега;Вологодская;19 218 551 000;19618151051;6156;781744;162160;0;UTC+3
346;0;https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D0%B3%D0%BE%D0%B4%D0%B0;59.16666667;35.33333333;Чагода;Чагода;Вологодская;19 254 551 000;19654151051;6160;781741;162400;0;UTC+3
613;0;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%B0%D1%8F_%D0%9F%D0%BE%D0%BB%D1%8F%D0%BD%D0%B0_(%D0%92%D1%8F%D1%82%D1%81%D0%BA%D0%BE%D0%BF%D0%BE%D0%BB%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD);56.23333333;51.13333333;Красная Поляна;Красная Поляна;Кировская;33 210 554;33610154051;6168;783334;612950;0;UTC+3
1994;140;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D1%85%D0%BE%D0%BF%D1%91%D1%80%D1%81%D0%BA;51.1;41.61666667;Новохопёрск;Новохоперск;Воронежская;20 227 501 000;20627101001;6188;747353;397400;14;UTC+3
240;220;https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%BE%D0%B8%D1%86%D0%BA%D0%B8%D0%B9_(%D0%91%D0%B5%D0%BB%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);51.36444444;37.50194444;Троицкий;Троицкий;Белгородская;14 235 560;14730000126;6192;747241;309145;0;UTC+3
774;0;https://ru.wikipedia.org/wiki/%D0%9E%D0%BB%D0%B0;59.58027778;15.02166667;Ола;Ола;Магаданская;44 201 551;44702000051;6229;741341;685910;0;UTC+11
1996;140;https://ru.wikipedia.org/wiki/%D0%A3%D1%81%D0%BE%D0%BB%D1%8C%D0%B5;59.41666667;56.68333333;Усолье;Усолье;Пермский;57 253 501 000;57653101001;6236;734244;618460;0;UTC+5
1635;0;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B3%D0%BE%D1%80%D1%81%D0%BA%D0%B8%D0%B9_(%D0%9C%D0%B0%D1%80%D0%B8%D0%B9_%D0%AD%D0%BB);56.15;48.33333333;Красногорский;Красногорский;Марий;88 212 562;88612162051;6240;;425091;0;UTC+3
463;700;https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B8-%D0%AE%D1%80%D1%82;43.14166667;44.85388889;Али-Юрт;Али-Юрт;Ингушетия;26 220 803 001;26605435101;6269;+7 8732[4];386125;0;UTC+3
1488;0;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%82%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2%D0%BE_(%D0%91%D1%83%D1%80%D1%8F%D1%82%D0%B8%D1%8F);51.88111111;10.12444444;Сотниково;Сотниково;Бурятия;81 222 840 001;81622440101;6274;730140;671056;0;UTC+8
155;0;https://ru.wikipedia.org/wiki/%D0%A5%D1%83%D1%80%D0%B1%D0%B0_(%D1%81%D0%B5%D0%BB%D0%BE);50.40694444;13.11444444;Хурба;Хурба;Хабаровский;8 220 861 001;8620461101;6277;742172;681060;7.5;UTC+10
1992;108;https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%81%D1%8C%D0%B5%D0%B3%D0%BE%D0%BD%D1%81%D0%BA;58.65;37.26666667;Весьегонск;Весьегонск;Тверская;28 210 501;28610101001;6280;748264;171720, 171721;0;UTC+3
1194;160;https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BC%D0%B8%D0%B4%D0%BE%D0%B2_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);55.26666667;31.51666667;Демидов;Демидов;Смоленская;66 211 501;66611101001;6289;748147;216240;33;UTC+3
1320;0;https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D1%80%D0%B0%D1%8F_%D0%9C%D0%B0%D0%B9%D0%BD%D0%B0;54.60888889;48.92805556;Старая Майна;Старая Майна;Ульяновская;73 242 551;73642151051;6290;784230;433460;0;UTC+4
1668;120;https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%BC%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2;54.63333333;43.21666667;Темников;Темников;Мордовия;89 249 501 000;89649101001;6291;783445;431220;0;UTC+3
1319;0;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%BD%D0%B0_(%D0%A3%D0%BB%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);54.11361111;47.61138889;Майна;Майна;Ульяновская;73 220 551 000;73620151051;6300;;433130;0;UTC+4
1621;0;https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%BE%D0%B8%D1%86%D0%BA%D0%BE-%D0%9F%D0%B5%D1%87%D0%BE%D1%80%D1%81%D0%BA;62.7;56.2;Троицко-Печорск;Троицко-Печорск;Коми;87 236 551 000;87636151051;6315;782138;169420;0;UTC+3
612;210;https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%80%D0%B0%D1%88%D0%B8;59.38333333;48.96666667;Мураши;Мураши;Кировская;33 224 501;33624101001;6322;783348;613710;0;UTC+3
154;290;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D1%8B%D0%B9_%D0%A3%D1%80%D0%B3%D0%B0%D0%BB;51.0775;13.04333333;Новый Ургал;Новый Ургал;Хабаровский;82 145 533;8614153051;6332;+7 421 49;682071;0;UTC+10
207;0;https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D1%80%D0%BE%D0%BA%D1%83%D1%87%D0%B5%D1%80%D0%B3%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0;46.325;47.95805556;Старокучергановка;Старокучергановка;Астраханская;12 240 856 001;12640456101;6343;+7 +7 85171;416101;0;UTC+4
181;0;https://ru.wikipedia.org/wiki/%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0_(%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD,_%D0%90%D0%BC%D1%83%D1%80%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);50.36388889;12.13333333;Ивановка;Ивановка;Амурская;10 228 816 001;10628416101;6360;741649;676930;0;UTC+9
1487;701;https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D0%B6%D0%B8%D0%BD%D0%B3%D0%B0;51.84638889;10.165;Кижинга;Кижинга;Бурятия;81 227 833 001;81627433101;6373;730141;671450;0;UTC+8
1991;170;https://ru.wikipedia.org/wiki/%D0%97%D1%83%D0%B1%D1%86%D0%BE%D0%B2;56.16666667;34.58333333;Зубцов;Зубцов;Тверская;28 218 501;28618101001;6373;748262;172333;0;UTC+3
1704;684;https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%B1%D0%B5%D0%B7;44.03333333;41.76666667;Хабез;Хабез;Карачаево-Черкесия;91 240 000 001;91640440101;6392;787873;369400;65;UTC+3
1667;0;https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B8%D0%B5_%D0%91%D0%B5%D1%80%D0%B5%D0%B7%D0%BD%D0%B8%D0%BA%D0%B8;54.17583333;45.96972222;Большие Березники;Большие Березники;Мордовия;89 210 805 001;89610405101;6393;783436;431751;0;UTC+3
1990;220;https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D1%80%D1%81%D0%BA;53.08333333;45.7;Сурск;Сурск;Пензенская;56 218 508;56618108001;6393;784158;442300;0;UTC+3
239;130;https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D0%B9%D0%B2%D0%BE%D1%80%D0%BE%D0%BD;50.48333333;35.66666667;Грайворон;Грайворон;Белгородская;14 232 501;14632101001;6404;747261;309372;10;UTC+3
478;70;https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B3%D1%80%D0%B0%D1%82%D0%B8%D0%BE%D0%BD%D0%BE%D0%B2%D1%81%D0%BA;54.38333333;20.63333333;Багратионовск;Багратионовск;Калининградская;27 203 501;27703000001;6409;740156;238420;10.7;UTC+2
1318;0;https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D1%80%D1%81%D0%BA%D0%BE%D0%B5;54.48083333;46.71861111;Сурское;Сурское;Ульяновская;73 244 551 000;73644151051;6409;;433240;0;UTC+4
279;0;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%B0%D1%8F_%D0%93%D0%BE%D1%80%D0%B0_(%D0%91%D1%80%D1%8F%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);53;31.6;Красная Гора;Красная Гора;Брянская;152 345 511;15634151051;6414;748346;243160;8.4;UTC+3
1577;7;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D1%8B%D0%B5_%D0%94%D0%B5%D1%80%D0%B1%D0%B5%D1%82%D1%8B;47.95472222;44.68083333;Малые Дербеты;Малые Дербеты;Калмыкия;85 220 855 001;85620455101;6419;;359420;0;UTC+3
348;0;https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%87%D0%BC%D0%B5%D0%BD%D0%B3%D1%81%D0%BA%D0%B8%D0%B9_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%BE%D0%BA;59.99083333;45.81472222;Кичменгский Городок;Кичменгский Городок;Вологодская;19 230 808 001;19630408101;6421;781740;161400, 161401;0;UTC+3
238;161;https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%B9%D0%B4%D0%B5%D0%BB%D0%B5%D0%B2%D0%BA%D0%B0;50.15361111;38.45;Вейделевка;Вейделевка;Белгородская;14 225 551;14625151051;6431;+7 472 37;309720;0;UTC+3
1240;0;https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D0%BC%D0%B8%D1%80%D1%8F%D0%B7%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_(%D0%A2%D0%BE%D0%BC%D1%81%D0%BA);56.47916667;84.88888889;Тимирязевский;Тимирязевский;Томская;69 401 000 007;69701000111;6434;+7 382-2;634510;0;UTC+7
1691;329;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D1%81%D0%BA%D0%BE%D0%B5_(%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F_%D0%9E%D1%81%D0%B5%D1%82%D0%B8%D1%8F);43.1825;44.72777778;Майское;Майское;Алания;90 240 845 001;90640445101;6446;786731;363103;0;UTC+3
1771;0;https://ru.wikipedia.org/wiki/%D0%AF%D1%80_(%D0%BF%D0%BE%D1%81%D1%91%D0%BB%D0%BE%D0%BA,_%D0%A3%D0%B4%D0%BC%D1%83%D1%80%D1%82%D0%B8%D1%8F);58.24583333;52.11555556;Яр;Яр;Удмуртия;94 252 551;94652480101;6446;734157;427500;40;UTC+4
206;19;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D1%8B%D0%B5_%D0%91%D0%B0%D1%80%D1%80%D0%B8%D0%BA%D0%B0%D0%B4%D1%8B;46.205;47.8575;Красные Баррикады;Красные Баррикады;Астраханская;122 205 628;12620162051;6462;+7 851 14;416356;0;UTC+4
1211;0;https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%87%D0%BA%D0%B0%D0%BF%D1%81%D0%BA%D0%B8%D0%B9;51.85166667;42.4625;Мучкапский;Мучкапский;Тамбовская;68 218 551;68618151051;6473;747546;393570;0;UTC+3
278;0;https://ru.wikipedia.org/wiki/%D0%9B%D1%8E%D0%B1%D0%BE%D1%85%D0%BD%D0%B0;53.5;34.36666667;Любохна;Любохна;Брянская;15 216 559;15616159051;6485;748333;242620;0;UTC+3
1305;0;https://ru.wikipedia.org/wiki/%D0%AF%D1%80-%D0%A1%D0%B0%D0%BB%D0%B5;66.86333333;70.83;Яр-Сале;Яр-Сале;Ямало-Ненецкий;71 168 917 001;71928417101;6486;734996;629700;0;UTC+5
1402;0;https://ru.wikipedia.org/wiki/%D0%94%D1%83%D0%BB%D1%8C%D0%B4%D1%83%D1%80%D0%B3%D0%B0;50.68416667;11.05972222;Дульдурга;Дульдурга;Забайкальский;76 211 000 001;76611416101;6489;730256;687200;0;UTC+9
1028;0;https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%80%D1%83%D0%B3%D0%B8_%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D1%8B%D0%B5;58.27222222;29.10833333;Струги Красные;Струги Красные;Псковская;58 256 551;58656151051;6502;781132;181110;0;UTC+3
1770;0;https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D1%80%D0%BA%D0%B0%D0%BD;57.29777778;53.86583333;Шаркан;Шаркан;Удмуртия;94 246 860 001;94646460101;6523;734136;427070;0;UTC+4
766;127;https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%80%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B5;52.45555556;39.37083333;Боринское;Боринское;Липецкая;42 240 808 001;42640408101;6524;;398510;0;UTC+3
180;0;https://ru.wikipedia.org/wiki/%D0%A6%D0%B8%D0%BE%D0%BB%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);51.76;12.13527778;Циолковский;Циолковский;Амурская;10 570;10770000051;6526;741643;676470;63.3;UTC+9
1576;32;https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B4%D0%BE%D0%B2%D0%BE%D0%B5_(%D0%9A%D0%B0%D0%BB%D0%BC%D1%8B%D0%BA%D0%B8%D1%8F);47.77361111;44.51277778;Садовое;Садовое;Калмыкия;85 232 855 001;85632455101;6530;784741;359410;0;UTC+3
611;0;https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%BC%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_(%D0%97%D0%90%D0%A2%D0%9E_%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%BC%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B9);59.06555556;49.28555556;Первомайский;Первомайский;Кировская;33 587;33787000051;6534;783366;613648;0;UTC+3
1085;100;https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B0%D1%81%D1%81%D0%BA-%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9;54.4;40.38333333;Спасск-Рязанский;Спасск-Рязанский;Рязанская;61 246 501;61646101001;6555;749135;391050;0;UTC+3
1317;78;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD%D0%B3%D0%B8%D0%BB%D0%B5%D0%B9;53.96666667;48.8;Сенгилей;Сенгилей;Ульяновская;73 236 501;73636101001;6568;784233;433380;6;UTC+4
937;0;https://ru.wikipedia.org/wiki/%D0%A8%D0%B5%D1%80%D0%B1%D0%B0%D0%BA%D1%83%D0%BB%D1%8C;54.63333333;72.38333333;Шербакуль;Шербакуль;Омская;52 259 551;52659151051;6595;738177;646700;0;UTC+6
1439;0;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%BE%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_(%D0%90%D0%B4%D1%8B%D0%B3%D0%B5%D1%8F);44.57638889;40.08333333;Краснооктябрьский;Краснооктябрьский;Адыгея;79 222 825 001;79622425101;6600;787777;385740;0;UTC+3
962;170;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%BE%D0%BC%D1%8B;52.68972222;35.7675;Кромы;Кромы;Орловская;54 225 551;54625151051;6613;748643;303200;0;UTC+3
1438;147;https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BD%D0%B4%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F;44.87972222;40.36138889;Дондуковская;Дондуковская;Адыгея;79 205 810 001;79605410101;6616;787779;385635;0;UTC+3
277;0;https://ru.wikipedia.org/wiki/%D0%98%D0%B2%D0%BE%D1%82;53.67805556;34.19;Ивот;Ивот;Брянская;15 216 556;15616156051;6619;748333;242650;0;UTC+3
708;190;https://ru.wikipedia.org/wiki/%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);52.12888889;35.07555556;Дмитриев;Дмитриев;Курская;38 208 501;38608101001;6619;747150;307500;8;UTC+3
1084;0;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D1%8F%D0%BD%D1%8B_(%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD);54.71666667;39.825;Поляны;Поляны;Рязанская;61 234 883 001;61634483101;6623;;390525;0;UTC+3
610;0;https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9;58.77;47.95805556;Даровской;Даровской;Кировская;33 212 551;33612151051;6630;783336;612140;0;UTC+3
635;120;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D1%8C%D0%B5%D0%B2;57.88333333;43.8;Макарьев;Макарьев;Костромская;34 218 501;34618101001;6632;749445;157460–157461;0;UTC+3
1401;490;https://ru.wikipedia.org/wiki/%D0%A1%D1%80%D0%B5%D1%82%D0%B5%D0%BD%D1%81%D0%BA;52.25;11.12861111;Сретенск;Сретенск;Забайкальский;76 240 501 000;76640101001;6643;730246;673500;0;UTC+9
1889;0;https://ru.wikipedia.org/wiki/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BA%D0%B0_(%D0%95%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D0%B0%D0%B2%D1%82%D0%BE%D0%BD%D0%BE%D0%BC%D0%BD%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);48.55805556;13.07972222;Николаевка;Николаевка;Еврейская;99 230 560;99630160051;6652;742632;679170;0;UTC+10
1210;156;https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BA%D0%B0%D1%80%D1%91%D0%B2%D0%BA%D0%B0_(%D0%A2%D0%B0%D0%BC%D0%B1%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);51.99305556;41.16111111;Токарёвка;Токаревка;Тамбовская;682 425 516;68642151051;6676;747557;393550;0;UTC+3
1400;668;https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC%D0%BD%D0%B0_(%D0%97%D0%B0%D0%B1%D0%B0%D0%B9%D0%BA%D0%B0%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);51.89583333;11.0525;Домна;Домна;Забайкальский;76 250 000 017;76650420101;6687;;672521;0;UTC+9
1989;20;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE%D1%80%D1%81%D0%BA;60.95;29.13333333;Каменногорск;Каменногорск;Ленинградская;41 215 506;41615106001;6696;781378;188950;0;UTC+3
609;120;https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%BB%D0%BE%D0%B2_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);58.53888889;48.89861111;Орлов;Орлов;Кировская;33 245 501;33645101001;6709;783365;612270;4;UTC+3
1263;0;https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%BE%D0%BA%D1%81%D0%BA%D0%B8%D0%B9;54.735;37.40055556;Заокский;Заокский;Тульская;70 222 551;70622151051;6709;748734;301000;0;UTC+3
1703;0;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B4%D0%BE%D0%BD%D0%B8%D0%BA%D1%81%D0%BA%D0%B0%D1%8F;43.85;41.71277778;Кардоникская;Кардоникская;Карачаево-Черкесия;91 210 000 006;91610420101;6716;787878;;0;UTC+3
462;459;https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D0%B0%D1%80%D0%BA%D0%B8;43.47083333;44.54166667;Инарки;Инарки;Ингушетия;26 215 820 001;26615415101;6717;;386333;0;UTC+3
1131;20;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D0%BE%D0%B2_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);48.61666667;14.04638889;Макаров;Макаров;Сахалинская;64 224 501;64724000001;6717;+7 424 43;694140;0;UTC+11
276;170;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B2%D1%81%D0%BA;52.15;34.49388889;Севск;Севск;Брянская;15 248 501;15648101001;6723;+7 48356;242440;0;UTC+3
526;0;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D0%B7%D0%B0%D0%B2%D0%B8%D0%B4%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9;56.55444444;36.43277778;Новозавидовский;Новозавидовский;Тверская;28 230 563;28630163051;6725;;171272;0;UTC+3
1690;303;https://ru.wikipedia.org/wiki/%D0%97%D0%BC%D0%B5%D0%B9%D1%81%D0%BA%D0%B0%D1%8F;43.33722222;44.15777778;Змейская;Змейская;Алания;90 225 822 001;90625422101;6729;786735;363620;62;UTC+3
1130;30;https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D1%85%D1%82%D1%91%D1%80%D1%81%D0%BA_(%D0%A1%D0%B0%D1%85%D0%B0%D0%BB%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);49.15;14.035;Шахтёрск;Шахтерск;Сахалинская;64 252 510;64652110001;6731;+7 424 32;694910;0;UTC+11
1486;690;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B5%D0%BD%D1%81%D0%BA_(%D0%91%D1%83%D1%80%D1%8F%D1%82%D0%B8%D1%8F);51.98388889;10.10972222;Каменск;Каменск;Бурятия;81 224 558;81624158051;6747;730138;671205;0;UTC+8
1634;0;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B9_%D0%BE%D0%BA%D1%80%D1%83%D0%B3_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4_%D0%99%D0%BE%D1%88%D0%BA%D0%B0%D1%80-%D0%9E%D0%BB%D0%B0);56.65194444;47.97555556;Семёновка;Семеновка;Марий;88 401 000 041;88701000141;6751;78362;424918;0;UTC+3
1421;0;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BC%D0%B8%D0%B1%D1%80%D0%B0%D1%82%D0%BE%D0%B2%D0%BE;57.3;39.51666667;Семибратово;Семибратово;Ярославская;78 237 559;78637447051;6770;748536;152101;0;UTC+3
889;27;https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D1%84%D0%B8%D0%BD%D0%BE;57.96666667;31.65;Парфино;Парфино;Новгородская;49 230 551 000;49630151051;6784;781650;175130;0;UTC+3
1620;0;https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%B7%D0%B8%D0%BD%D0%B3%D0%B0;61.08527778;50.09361111;Визинга;Визинга;Коми;87 232 810 001;87632410101;6810;782131;168100;0;UTC+3
1689;673;https://ru.wikipedia.org/wiki/%D0%A7%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0;43.19555556;43.92;Чикола;Чикола;Алания;90 220 870 001;90620470101;6824;786734;363500;0;UTC+3
936;0;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D1%82%D0%B0%D0%B2%D0%BA%D0%B0_(%D0%9E%D0%BC%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);54.3675;71.76388889;Полтавка;Полтавка;Омская;52 248 551;52648151051;6860;;646740;0;UTC+6
935;0;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%83%D1%82%D0%B8%D0%BD%D0%BA%D0%B0;56.00638889;71.51138889;Крутинка;Крутинка;Омская;52 226 551;52626151051;6878;738167;646130;0;UTC+6
237;189;https://ru.wikipedia.org/wiki/%D0%9E%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_(%D0%91%D0%B5%D0%BB%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD);50.43555556;36.35583333;Октябрьский;Октябрьский;Белгородская;14 210 560;14610160051;6893;74722;;0;UTC+3
934;0;https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%B2%D1%80%D0%B8%D0%B7;57.51666667;72.4;Тевриз;Тевриз;Омская;52 255 551;52655151051;6893;;646560;0;UTC+6
1399;0;https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D1%80%D0%B0%D1%81%D1%83%D0%BD;51.64972222;11.06611111;Дарасун;Дарасун;Забайкальский;76 220 553;76620153051;6896;;;0;UTC+9
1688;632;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B1%D0%B8%D0%BB%D0%B5%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B5;43.07638889;44.75111111;Камбилеевское;Камбилеевское;Алания;90 240 820 001;90640420101;6897;;363100;0;UTC+3
236;73;https://ru.wikipedia.org/wiki/%D0%A3%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%BE_(%D0%91%D0%B5%D0%BB%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);50.07861111;38.04805556;Уразово;Уразово;Белгородская;142 205 607;14620160051;6931;+7 472 36;309970;0;UTC+3
179;0;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%8F%D1%80%D0%BA%D0%BE%D0%B2%D0%BE_(%D0%90%D0%BC%D1%83%D1%80%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);49.63333333;12.14388889;Поярково;Поярково;Амурская;10 235 842 001;10635442101;6950;741637;676680;0;UTC+9
