;height;href;lat;long;name;norm_name;norm_reg;okato;oktmo;people;phone_code;post_index;square;timezone
1136;0;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%BA%D0%BE%D0%BB_(%D0%A1%D0%B0%D1%85%D0%B0%D0%BB%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);47.23555556;14.04583333;Сокол;Сокол;Сахалинская;64 212 824 001;64712000151;3367;;694060[2];0;UTC+11
1783;0;https://ru.wikipedia.org/wiki/%D0%9E%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_(%D0%97%D0%B0%D0%B2%D1%8C%D1%8F%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD);56.84416667;53.3275;Октябрьский;Октябрьский;Удмуртия;94 216 832 001;94616432101;3407;73412;427006;0;UTC+4
1867;240;https://ru.wikipedia.org/wiki/%D0%98%D1%88%D0%BB%D0%B5%D0%B8_(%D0%98%D1%88%D0%BB%D0%B5%D0%B9%D1%81%D0%BA%D0%BE%D0%B5_%D1%81%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B5_%D0%BF%D0%BE%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5);56.0225;47.0475;Ишлеи;Ишлеи;Чувашия;97 244 832 001;97644432101;3441;;429520;0;
1925;0;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D1%83%D0%BD%D0%B8%D0%BD%D0%BE_(%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);64.39222222;40.64333333;Катунино;Катунино;Архангельская;11 252 820 001;11652420101;3443;;163513;0;UTC+3
2010;65;https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D0%BB%D0%BC_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);57.15;31.18333333;Холм;Холм;Новгородская;49 247 501;49647101001;3445;781654;;9;UTC+3
1927;65;https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D0%BF%D0%B8%D1%86%D1%8B%D0%BD%D0%BE_(%D0%9A%D0%BE%D1%82%D0%BB%D0%B0%D1%81%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD);61.2825;46.51416667;Шипицыно;Шипицыно;Архангельская;11 227 580;11627180051;3460;+7 818 37;165320;4;UTC+3
1928;0;https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%80%D1%85%D0%BD%D1%8F%D1%8F_%D0%A2%D0%BE%D0%B9%D0%BC%D0%B0;62.25;45.01666667;Верхняя Тойма;Верхняя Тойма;Архангельская;11 208 808 001;11608408101;3462;781854;;0;UTC+3
1037;0;https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D0%BA%D0%BD%D1%8F_(%D0%9F%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);56.83333333;30.15;Локня;Локня;Псковская;58 218 551;58618151051;3470;781139;182900;0;UTC+3
1788;0;https://ru.wikipedia.org/wiki/%D0%9F%D1%8B%D1%87%D0%B0%D1%81;56.50444444;52.44333333;Пычас;Пычас;Удмуртия;94 235 850 001;94635451101;3477;734139;427780;0;UTC+4
2011;15;https://ru.wikipedia.org/wiki/%D0%A1%D1%80%D0%B5%D0%B4%D0%BD%D0%B5%D0%BA%D0%BE%D0%BB%D1%8B%D0%BC%D1%81%D0%BA;67.45;15.06166667;Среднеколымск;Среднеколымск;Саха;98 246 501 000;98646101001;3488;741156;678790;301;UTC+11
642;0;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B4%D1%8B%D0%B9;57.78083333;43.18833333;Кадый;Кадый;Костромская;34 210 551;34610151051;3507;749442;157980;0;UTC+3
1569;1300;https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D0%B0%D0%B3%D0%B0%D0%BD;50.61666667;87.95;Улаган;Улаган;Алтай;84 230 835 001;84630435101;3516;;649750;0;UTC+7
2009;125;https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BC%D0%BE%D0%B7;58.78333333;56.15;Чёрмоз;Чермоз;Пермский;57 220 504 000;57620104001;3519;734276;617040;7.2;UTC+5
1332;0;https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D1%80%D0%BE%D1%82%D0%B8%D0%BC%D0%BE%D1%88%D0%BA%D0%B8%D0%BD%D0%BE;53.71972222;47.53222222;Старотимошкино;Старотимошкино;Ульяновская;73 204 558;73604158051;3522;;433742;0;UTC+4
1895;0;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%B0%D0%BC%D1%83%D1%80%D1%81%D0%BA%D0%B8%D0%B9_(%D0%A1%D0%BC%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD);48.5275;13.08166667;Приамурский;Приамурский;Еврейская;99 230 565;99630165051;3537;+7 (42632)24-ххх;679180;0;UTC+10
