norm_name;name;norm_reg;href;lat;long;okato;oktmo;people;square;height;phone_code;post_index;timezone;RegName;RegOKATO;RegPeople;RegSquare;adm_center;FedName;people2017;city_people;country_people
Тоцкое Второе;Тоцкое Второе;Оренбургская;https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D1%86%D0%BA%D0%BE%D0%B5_%D0%92%D1%82%D0%BE%D1%80%D0%BE%D0%B5;52.54055556;52.83305556;53 252 806 001;53652406101;0;0.0;0.0;735349;461132;UTC+5;Оренбургская область;53;1989589.0;123702.0;Оренбург;Приволжский федеральный округ;;;
Идрица;Идрица;Псковская;https://ru.wikipedia.org/wiki/%D0%98%D0%B4%D1%80%D0%B8%D1%86%D0%B0;56.31666667;28.88333333;58 254 553;58654153051;0;0.0;0.0;781140;182296;UTC+3;Псковская область;58;642164.0;55399.0;Псков;Северо-Западный федеральный округ;4653;4653;
Карымское;Карымское;Забайкальский;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D1%8B%D0%BC%D1%81%D0%BA%D0%BE%D0%B5_(%D0%BF%D0%BE%D1%81%D1%91%D0%BB%D0%BE%D0%BA_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D1%82%D0%B8%D0%BF%D0%B0);51.615;11.07222222;76 220 551;76620151051;0;0.0;0.0;730234;673300;UTC+9;Забайкальский край;76;1078983.0;431892.0;Чита;Сибирский федеральный округ;12861;12861;
Кропоткин;Кропоткин;Краснодарский;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%BE%D0%BF%D0%BE%D1%82%D0%BA%D0%B8%D0%BD_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);45.43333333;40.56666667;3 414;03618101001;79152.47;98.7;80.0;786138;352380–352396;UTC+3;Краснодарский край;3;5570945.0;75485.0;Краснодар;Южный федеральный округ;79152;79152;
Усть-Кинельский;Усть-Кинельский;Самарская;https://ru.wikipedia.org/wiki/%D0%A3%D1%81%D1%82%D1%8C-%D0%9A%D0%B8%D0%BD%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9;53.26666667;50.58333333;36 408 557;36708000061;100;6.58;0.0;784663;446442;UTC+4;Самарская область;36;3203679.0;53565.0;Самара;Приволжский федеральный округ;11384;11384;
Иннополис;Иннополис;Татарстан;https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D0%BD%D0%BE%D0%BF%D0%BE%D0%BB%D0%B8%D1%81;55.76361111;48.73666667;92 220 509 000;92620109001;102;2.2;0.0;7843;420500;UTC+3;Татарстан;92;3885253.0;67847.0;Казань;Приволжский федеральный округ;;;
Нельмин-Нос;Нельмин-Нос;Ненецкий;https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%BB%D1%8C%D0%BC%D0%B8%D0%BD-%D0%9D%D0%BE%D1%81;67.98138889;52.95555556;11 154 000 001;11811454101;817;1.6;0.0;781853;166714;UTC+3;Ненецкий АО;11100;43937.0;176810.0;Нарьян-Мар;Северо-Западный федеральный округ;;;
Чекалин;Чекалин;Тульская;https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BA%D0%B0%D0%BB%D0%B8%D0%BD_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);54.1;36.25;70 240 508;70640108001;941;0.0;190.0;748763;301414;UTC+3;Тульская область;70;1499417.0;25679.0;Тула;Центральный федеральный округ;941;941;
Армань;Армань;Магаданская;https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%BC%D0%B0%D0%BD%D1%8C;59.66666667;15.00222222;44 201 554;44702000106;982;0.0;56.0;;685930;UTC+11;Магаданская область;44;145570.0;462464.0;Магадан;Дальневосточный федеральный округ;;;
Лорино;Лорино;Чукотский;https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D1%80%D0%B8%D0%BD%D0%BE_(%D0%A7%D1%83%D0%BA%D0%BE%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%B0%D0%B2%D1%82%D0%BE%D0%BD%D0%BE%D0%BC%D0%BD%D1%8B%D0%B9_%D0%BE%D0%BA%D1%80%D1%83%D0%B3);65.5;17.02861111;77 233 000 003;77633423101;1000;0.0;0.0;742736;689315;UTC+12;Чукотский АО;77;49822.0;721481.0;Анадырь;Дальневосточный федеральный округ;;;
Оротукан;Оротукан;Магаданская;https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%BE%D1%82%D1%83%D0%BA%D0%B0%D0%BD_(%D0%BF%D0%BE%D1%81%D1%91%D0%BB%D0%BE%D0%BA_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D1%82%D0%B8%D0%BF%D0%B0);62.26805556;15.02777778;44 222 563;44722000071;1050;0.0;0.0;741343;686210;UTC+11;Магаданская область;44;145570.0;462464.0;Магадан;Дальневосточный федеральный округ;1050;1050;
Цемзавод;Цемзавод;Ульяновская;https://ru.wikipedia.org/wiki/%D0%A6%D0%B5%D0%BC%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4;54.00222222;48.73305556;73 236 559;73636101056;1059;0.0;0.0;;433381;UTC+4;Ульяновская область;73;1252887.0;37181.0;Ульяновск;Приволжский федеральный округ;1059;1059;
Октябрьский;Октябрьский;Костромская;https://ru.wikipedia.org/wiki/%D0%9E%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_(%D0%9C%D0%B0%D0%BD%D1%82%D1%83%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD);58.315;44.32;34 220 823 001;34620423101;1102;0.0;0.0;;;UTC+3;Костромская область;34;648157.0;60211.0;Кострома;Центральный федеральный округ;;;
Высоцк;Высоцк;Ленинградская;https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D1%81%D0%BE%D1%86%D0%BA;60.61666667;28.56666667;41 215 504;41615104001;1120;39.81;0.0;781378;188909;UTC+3;Ленинградская область;41;1791916.0;83908.0;Санкт-Петербург;Северо-Западный федеральный округ;1120;1120;
Верхоянск;Верхоянск;Саха;https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%80%D1%85%D0%BE%D1%8F%D0%BD%D1%81%D0%BA;67.55;13.05638889;98 216 503;98616103001;1131;0.0;127.0;741165;;UTC+10;Саха (Якутия);98;962835.0;3083523.0;Якутск;Дальневосточный федеральный округ;1131;1131;
Новый;Новый;Камчатский;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D1%8B%D0%B9_(%D0%9A%D0%B0%D0%BC%D1%87%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);53.09861111;15.14222222;30 207 000 012;30607416101;1134;0.0;0.0;741531;684016;UTC+12;Камчатский край;30;314729.0;464275.0;Петропавловск-Камчатский;Дальневосточный федеральный округ;;;
Козыревск;Козыревск;Камчатский;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B7%D1%8B%D1%80%D0%B5%D0%B2%D1%81%D0%BA;56.06666667;15.16444444;30 219 000 005;30619405101;1241;0.0;35.0;741534;;UTC+12;Камчатский край;30;314729.0;464275.0;Петропавловск-Камчатский;Дальневосточный федеральный округ;;;
Лаврентия;Лаврентия;Чукотский;https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B2%D1%80%D0%B5%D0%BD%D1%82%D0%B8%D1%8F_(%D1%81%D0%B5%D0%BB%D0%BE);65.58388889;17.01638889;77 233 000 001;77633420101;1290;0.0;0.0;742736;689300;UTC+12;Чукотский АО;77;49822.0;721481.0;Анадырь;Дальневосточный федеральный округ;;;
Дукат;Дукат;Магаданская;https://ru.wikipedia.org/wiki/%D0%94%D1%83%D0%BA%D0%B0%D1%82_(%D0%9C%D0%B0%D0%B3%D0%B0%D0%B4%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);62.58333333;15.08916667;44 204 555;44704000056;1315;7.5;857.0;;686417;UTC+11;Магаданская область;44;145570.0;462464.0;Магадан;Дальневосточный федеральный округ;1315;1315;
Тиличики;Тиличики;Камчатский;https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D0%BB%D0%B8%D1%87%D0%B8%D0%BA%D0%B8;60.43333333;16.10055556;30 127 000 001;30827405101;1330;0.0;0.0;741544;688800;UTC+12;Камчатский край;30;314729.0;464275.0;Петропавловск-Камчатский;Дальневосточный федеральный округ;;;
Несь;Несь;Ненецкий;https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D1%81%D1%8C_(%D1%81%D0%B5%D0%BB%D0%BE);66.60166667;44.67583333;11 143 000 001;11811443101;1368;0.0;0.0;781857;166737;UTC+3;Ненецкий АО;11100;43937.0;176810.0;Нарьян-Мар;Северо-Западный федеральный округ;;;
Нагорный;Нагорный;Камчатский;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B3%D0%BE%D1%80%D0%BD%D1%8B%D0%B9_(%D0%9A%D0%B0%D0%BC%D1%87%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);53.11666667;15.14194444;30 207 000 013;30607416106;1469;0.0;0.0;741531;684014;UTC+12;Камчатский край;30;314729.0;464275.0;Петропавловск-Камчатский;Дальневосточный федеральный округ;;;
Эвенск;Эвенск;Магаданская;https://ru.wikipedia.org/wiki/%D0%AD%D0%B2%D0%B5%D0%BD%D1%81%D0%BA;61.91666667;15.15388889;44 207 551;44707000051;1471;0.0;0.0;741348;686430;UTC+11;Магаданская область;44;145570.0;462464.0;Магадан;Дальневосточный федеральный округ;1471;1471;
Тигиль;Тигиль;Камчатский;https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D0%B3%D0%B8%D0%BB%D1%8C_(%D1%81%D0%B5%D0%BB%D0%BE);57.76138889;15.14444444;30 132 000 001;30832405101;1518;2.07;0.0;+7 415-37;688600;UTC+12;Камчатский край;30;314729.0;464275.0;Петропавловск-Камчатский;Дальневосточный федеральный округ;;;
Красное;Красное;Ненецкий;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B5_(%D0%9D%D0%B5%D0%BD%D0%B5%D1%86%D0%BA%D0%B8%D0%B9_%D0%B0%D0%B2%D1%82%D0%BE%D0%BD%D0%BE%D0%BC%D0%BD%D1%8B%D0%B9_%D0%BE%D0%BA%D1%80%D1%83%D0%B3);67.83555556;53.59694444;11 161 000 001;11811461101;1519;0.0;0.0;781853;166715;UTC+3;Ненецкий АО;11100;43937.0;176810.0;Нарьян-Мар;Северо-Западный федеральный округ;;;
Вулканный;Вулканный;Камчатский;https://ru.wikipedia.org/wiki/%D0%92%D1%83%D0%BB%D0%BA%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9;53.09583333;15.13916667;30 207 554;30607154051;1529;0.0;0.0;741531;684036;UTC+12;Камчатский край;30;314729.0;464275.0;Петропавловск-Камчатский;Дальневосточный федеральный округ;1529;1529;
Озерновский;Озерновский;Камчатский;https://ru.wikipedia.org/wiki/%D0%9E%D0%B7%D0%B5%D1%80%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9;51.5;15.10861111;30 216 557 000;30616157101;1537;0.0;0.0;+7 415 32 xxxxx;684110;UTC+12;Камчатский край;30;314729.0;464275.0;Петропавловск-Камчатский;Дальневосточный федеральный округ;;;
Колосовка;Колосовка;Калининградская;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BB%D0%BE%D1%81%D0%BE%D0%B2%D0%BA%D0%B0_(%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);54.8;20.30416667;27 215 807 015;27710000586;1538;0.0;0.0;740150;238543;UTC+2;Калининградская область;27;986261.0;15125.0;Калининград;Северо-Западный федеральный округ;;;
Курильск;Курильск;Сахалинская;https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D0%B8%D0%BB%D1%8C%D1%81%D0%BA;45.25;14.13138889;;64720000001;1547;0.0;30.0;+7 42454;694530;UTC+10;Сахалинская область;64;487344.0;87101.0;Южно-Сахалинск;Дальневосточный федеральный округ;1547;1547;
Октябрьский;Октябрьский;Камчатский;https://ru.wikipedia.org/wiki/%D0%9E%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_(%D0%9A%D0%B0%D0%BC%D1%87%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);52.62305556;15.10416667;30 216 562;30616162101;1575;0.0;0.0;;684102;UTC+12;Камчатский край;30;314729.0;464275.0;Петропавловск-Камчатский;Дальневосточный федеральный округ;;;
Волочаевское;Волочаевское;Калининградская;https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D0%BE%D1%87%D0%B0%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_(%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);54.7;20.21666667;27 425 000 001;27725000121;1582;0.0;0.0;740152;238345;UTC+2;Калининградская область;27;986261.0;15125.0;Калининград;Северо-Западный федеральный округ;;;
Люблино;Люблино;Калининградская;https://ru.wikipedia.org/wiki/%D0%9B%D1%8E%D0%B1%D0%BB%D0%B8%D0%BD%D0%BE_(%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);54.75;20.28333333;27 425 000 003;27725000136;1606;0.0;0.0;740152;238347;UTC+2;Калининградская область;27;986261.0;15125.0;Калининград;Северо-Западный федеральный округ;;;
Мяунджа;Мяунджа;Магаданская;https://ru.wikipedia.org/wiki/%D0%9C%D1%8F%D1%83%D0%BD%D0%B4%D0%B6%D0%B0;63.03333333;14.11944444;44 213 566;44713000061;1618;0.0;0.0;741345;686332;UTC+11;Магаданская область;44;145570.0;462464.0;Магадан;Дальневосточный федеральный округ;1618;1618;
Паратунка;Паратунка;Камчатский;https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B0%D1%82%D1%83%D0%BD%D0%BA%D0%B0_(%D1%81%D0%B5%D0%BB%D0%BE);52.96055556;15.13722222;30 207 000 019;30607419101;1619;0.0;0.0;;684034;UTC+12;Камчатский край;30;314729.0;464275.0;Петропавловск-Камчатский;Дальневосточный федеральный округ;;;
Жадовка;Жадовка;Ульяновская;https://ru.wikipedia.org/wiki/%D0%96%D0%B0%D0%B4%D0%BE%D0%B2%D0%BA%D0%B0;53.57361111;46.95222222;73 204 552;73604152051;1629;0.0;0.0;;433731;UTC+4;Ульяновская область;73;1252887.0;37181.0;Ульяновск;Приволжский федеральный округ;1629;1629;
Соболево;Соболево;Камчатский;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%B1%D0%BE%D0%BB%D0%B5%D0%B2%D0%BE_(%D0%9A%D0%B0%D0%BC%D1%87%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);54.305;15.09861111;30 213 000 001;30613401101;1669;0.0;0.0;741536;684200;UTC+12;Камчатский край;30;314729.0;464275.0;Петропавловск-Камчатский;Дальневосточный федеральный округ;;;
Добровольск;Добровольск;Калининградская;https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%B1%D1%80%D0%BE%D0%B2%D0%BE%D0%BB%D1%8C%D1%81%D0%BA_(%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);54.76666667;22.5;27 218 804 001;27713000291;1693;0.0;0.0;;238743;UTC+2;Калининградская область;27;986261.0;15125.0;Калининград;Северо-Западный федеральный округ;;;
Нивенское;Нивенское;Калининградская;https://ru.wikipedia.org/wiki/%D0%9D%D0%B8%D0%B2%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B5;54.58527778;20.56972222;27 203 813 001;27703000376;1728;0.0;35.0;740156;238434;UTC+2;Калининградская область;27;986261.0;15125.0;Калининград;Северо-Западный федеральный округ;;;
Артемовск;Артёмовск;Красноярский;https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%82%D1%91%D0%BC%D0%BE%D0%B2%D1%81%D0%BA_(%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F);54.35;93.43333333;4 230 502;04630102001;1777;24.0;470.0;739136;662951;UTC+7;Красноярский край;4;2875301.0;2366797.0;Красноярск;Сибирский федеральный округ;1705;1705;
Плес;Плёс;Ивановская;https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D1%91%D1%81_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);57.45;41.5;24 220 504;24620104001;1796;0.0;54.0;749339;155555;UTC+3;Ивановская область;24;1023170.0;21437.0;Иваново;Центральный федеральный округ;1796;1796;
Николаевка;Николаевка;Камчатский;https://ru.wikipedia.org/wiki/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BA%D0%B0_(%D0%9A%D0%B0%D0%BC%D1%87%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);53.04527778;15.13888889;30 207 000 010;30607413101;1819;0.0;0.0;;684032;UTC+12;Камчатский край;30;314729.0;464275.0;Петропавловск-Камчатский;Дальневосточный федеральный округ;;;
Стекольный;Стекольный;Магаданская;https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B5%D0%BA%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9;60.03333333;15.01222222;44 219 563;44719000065;1839;0.0;0.0;;686134;UTC+11;Магаданская область;44;145570.0;462464.0;Магадан;Дальневосточный федеральный округ;1839;1839;
Биракан;Биракан;Еврейская;https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%80%D0%B0%D0%BA%D0%B0%D0%BD;49.00083333;13.02861111;99 220 556;99620156051;1866;0.0;0.0;;679135;UTC+10;Еврейская АО;99;164217.0;36271.0;Биробиджан;Дальневосточный федеральный округ;1866;1866;
Усть-Большерецк;Усть-Большерецк;Камчатский;https://ru.wikipedia.org/wiki/%D0%A3%D1%81%D1%82%D1%8C-%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D1%80%D0%B5%D1%86%D0%BA;52.82388889;15.10444444;30 216 000 001;30616410101;1873;0.0;0.0;;684100;UTC+12;Камчатский край;30;314729.0;464275.0;Петропавловск-Камчатский;Дальневосточный федеральный округ;;;
Взморье;Взморье;Калининградская;https://ru.wikipedia.org/wiki/%D0%92%D0%B7%D0%BC%D0%BE%D1%80%D1%8C%D0%B5_(%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);54.7;20.25;27 425 000 009;27725000116;1883;0.0;0.0;740152;238345;UTC+2;Калининградская область;27;986261.0;15125.0;Калининград;Северо-Западный федеральный округ;;;
Корнево;Корнево;Калининградская;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BD%D0%B5%D0%B2%D0%BE_(%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);54.43333333;20.28333333;27 203 807 001;27703000441;1912;0.0;0.0;;238443;UTC+2;Калининградская область;27;986261.0;15125.0;Калининград;Северо-Западный федеральный округ;;;
Эссо;Эссо;Камчатский;https://ru.wikipedia.org/wiki/%D0%AD%D1%81%D1%81%D0%BE;55.93055556;15.14472222;30 204 000 001;30604401101;1923;0.0;0.0;741542;684350;UTC+12;Камчатский край;30;314729.0;464275.0;Петропавловск-Камчатский;Дальневосточный федеральный округ;;;
Чуфарово;Чуфарово;Ульяновская;https://ru.wikipedia.org/wiki/%D0%A7%D1%83%D1%84%D0%B0%D1%80%D0%BE%D0%B2%D0%BE_(%D0%92%D0%B5%D1%88%D0%BA%D0%B0%D0%B9%D0%BC%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD);54.09722222;47.34;73 207 558;73607158051;1934;0.0;0.0;;433120;UTC+4;Ульяновская область;73;1252887.0;37181.0;Ульяновск;Приволжский федеральный округ;1934;1934;
Островной;Островной;Мурманская;https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%BD%D0%BE%D0%B9;68.05305556;39.51305556;47 531;47731000001;1960;0.0;11.0;781558;184640;UTC+3;Мурманская область;47;757621.0;144902.0;Мурманск;Северо-Западный федеральный округ;1876;1876;
Приморск;Приморск;Калининградская;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BC%D0%BE%D1%80%D1%81%D0%BA_(%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);54.73333333;20.0;27 405 555;27605102051;1960;4.0;1.0;740152;238510;UTC+2;Калининградская область;27;986261.0;15125.0;Калининград;Северо-Западный федеральный округ;1960;1960;
Сосновоборск;Сосновоборск;Красноярский;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%BE%D0%B1%D0%BE%D1%80%D1%81%D0%BA_(%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);56.13333333;93.36666667;4 433;04733000001;1979;27.4;160.0;739131;662500, 662501;UTC+7;Красноярский край;4;2875301.0;2366797.0;Красноярск;Сибирский федеральный округ;39375;39375;
Горбатов;Горбатов;Нижегородская;https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%B1%D0%B0%D1%82%D0%BE%D0%B2_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);56.13333333;43.06666667;22 242 505;22642105001;1982;0.0;160.0;783171;606125;UTC+3;Нижегородская область;22;3247713.0;76624.0;Нижний Новгород;Приволжский федеральный округ;1982;1982;
Термальный;Термальный;Камчатский;https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D1%80%D0%BC%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9;52.9325;15.13694444;30 207 000 020;30607419106;2001;0.0;0.0;741531;684035;UTC+12;Камчатский край;30;314729.0;464275.0;Петропавловск-Камчатский;Дальневосточный федеральный округ;;;
Игнатовка;Игнатовка;Ульяновская;https://ru.wikipedia.org/wiki/%D0%98%D0%B3%D0%BD%D0%B0%D1%82%D0%BE%D0%B2%D0%BA%D0%B0;53.94527778;47.65166667;73 220 558;73620158051;2013;0.0;200.0;;433152;UTC+4;Ульяновская область;73;1252887.0;37181.0;Ульяновск;Приволжский федеральный округ;2013;2013;
Помары;Помары;Марий;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BC%D0%B0%D1%80%D1%8B;55.965;48.35138889;88 204 842 001;88604442101;2014;0.0;80.0;783631;425032;UTC+3;Марий Эл;88;684684.0;23375.0;Йошкар-Ола;Приволжский федеральный округ;;;
Силикатный;Силикатный;Марий;https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BB%D0%B8%D0%BA%D0%B0%D1%82%D0%BD%D1%8B%D0%B9_(%D0%9C%D0%B0%D1%80%D0%B8%D0%B9_%D0%AD%D0%BB);56.38055556;48.2;88 228 817 001;88628419101;2016;0.0;0.0;78362;424910;UTC+3;Марий Эл;88;684684.0;23375.0;Йошкар-Ола;Приволжский федеральный округ;;;
Оссора;Оссора;Камчатский;https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%81%D0%BE%D1%80%D0%B0_(%D0%BF%D0%BE%D1%81%D1%91%D0%BB%D0%BE%D0%BA);59.24694444;16.05083333;30 124 651;30824151101;2017;0.0;3.0;741545;688700;UTC+12;Камчатский край;30;314729.0;464275.0;Петропавловск-Камчатский;Дальневосточный федеральный округ;;;
Глотовка;Глотовка;Ульяновская;https://ru.wikipedia.org/wiki/%D0%93%D0%BB%D0%BE%D1%82%D0%BE%D0%B2%D0%BA%D0%B0_(%D0%A3%D0%BB%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);53.95;46.7;73 210 558;73610158051;2033;0.0;296.0;784261;433040;UTC+4;Ульяновская область;73;1252887.0;37181.0;Ульяновск;Приволжский федеральный округ;2033;2033;
Кедровый;Кедровый;Томская;https://ru.wikipedia.org/wiki/%D0%9A%D0%B5%D0%B4%D1%80%D0%BE%D0%B2%D1%8B%D0%B9_(%D0%A2%D0%BE%D0%BC%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);57.56666667;79.56666667;69 407;69707000001;2049;16.97;100.0;738250;636615;UTC+7;Томская область;69;1078891.0;314391.0;Томск;Сибирский федеральный округ;2041;2041;
Кудара;Кудара;Бурятия;https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B4%D0%B0%D1%80%D0%B0;52.22638889;10.11083333;81 224 810 001;81624410101;2058;0.0;0.0;730138;671240;UTC+8;Бурятия;81;984134.0;351334.0;Улан-Удэ;Сибирский федеральный округ;;;
Новоселенгинск;Новоселенгинск;Бурятия;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B3%D0%B8%D0%BD%D1%81%D0%BA;51.09166667;10.11027778;81 248 855 001;81648455101;2067;0.0;547.0;730145;671194;UTC+8;Бурятия;81;984134.0;351334.0;Улан-Удэ;Сибирский федеральный округ;;;
Чур;Чур;Удмуртия;https://ru.wikipedia.org/wiki/%D0%A7%D1%83%D1%80_(%D0%A3%D0%B4%D0%BC%D1%83%D1%80%D1%82%D0%B8%D1%8F);57.11277778;52.9675;94 250 847 001;94650447101;2091;0.0;0.0;;427110;UTC+4;Удмуртия;94;1516826.0;42061.0;Ижевск;Приволжский федеральный округ;;;
Сольвычегодск;Сольвычегодск;Архангельская;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%BB%D1%8C%D0%B2%D1%8B%D1%87%D0%B5%D0%B3%D0%BE%D0%B4%D1%81%D0%BA;61.33333333;46.91666667;11 227 504 000;11627104001;2098;0.0;70.0;781837;165330;UTC+3;Архангельская область;11;1165750.0;589913.0;Архангельск;Северо-Западный федеральный округ;2098;2098;
