norm_name;name;norm_reg;href;lat;long;okato;oktmo;people;square;height;phone_code;post_index;timezone;RegName;RegOKATO;RegPeople;RegSquare;adm_center;FedName;people2017;city_people;country_people
Железногорск;Железногорск;Курская;https://ru.wikipedia.org/wiki/%D0%96%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%BE%D0%B3%D0%BE%D1%80%D1%81%D0%BA_(%D0%9A%D1%83%D1%80%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);52.33916667;35.35166667;38 405;38705000001;100671;112.03;220.0;747148;;UTC+3;Курская область;38;1122893.0;29997.0;Курск;Центральный федеральный округ;100671;100671;
Ногинск;Ногинск;Московская;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B3%D0%B8%D0%BD%D1%81%D0%BA;55.85;38.43333333;46 239 501;46639101001;102267;52.09;145.0;749651;142400;UTC+3;Московская область;46;7423470.0;44329.0;Красногорск;Центральный федеральный округ;102267;102267;
Новокуйбышевск;Новокуйбышевск;Самарская;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D0%BA%D1%83%D0%B9%D0%B1%D1%8B%D1%88%D0%B5%D0%B2%D1%81%D0%BA;53.1;49.91666667;36 413;36713000001;102933;86.0;90.0;784635;446200;UTC+4;Самарская область;36;3203679.0;53565.0;Самара;Приволжский федеральный округ;102933;102933;
Бердск;Бердск;Новосибирская;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%80%D0%B4%D1%81%D0%BA;54.75;83.1;50 408;50708000001;103290;67.0;130.0;738341;;UTC+7;Новосибирская область;50;2779555.0;177756.0;Новосибирск;Сибирский федеральный округ;103290;103290;
Элиста;Элиста;Калмыкия;https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%B8%D1%81%D1%82%D0%B0;46.31666667;44.26666667;85 401 000 000;85701000001;103899;92.36;120.0;784722;;UTC+3;Калмыкия;85;277803.0;74731.0;Элиста;Южный федеральный округ;103899;103899;
Долгопрудный;Долгопрудный;Московская;https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BB%D0%B3%D0%BE%D0%BF%D1%80%D1%83%D0%B4%D0%BD%D1%8B%D0%B9;55.93333333;37.5;46 416 000 000;46716000001;104238;30.52;180.0;495, 498;141707;UTC+3;Московская область;46;7423470.0;44329.0;Красногорск;Центральный федеральный округ;104238;104238;
Арзамас;Арзамас;Нижегородская;https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%B7%D0%B0%D0%BC%D0%B0%D1%81;55.38333333;43.8;22 403;22703000001;104547;34.32;150.0;783147;;UTC+3;Нижегородская область;22;3247713.0;76624.0;Нижний Новгород;Приволжский федеральный округ;104547;104547;
Сергиев Посад;Сергиев Посад;Московская;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B3%D0%B8%D0%B5%D0%B2_%D0%9F%D0%BE%D1%81%D0%B0%D0%B4;56.3;38.13333333;46 215 501;46615101001;104579;50.4;210.0;7496;;UTC+3;Московская область;46;7423470.0;44329.0;Красногорск;Центральный федеральный округ;104579;104579;
Елец;Елец;Липецкая;https://ru.wikipedia.org/wiki/%D0%95%D0%BB%D0%B5%D1%86;52.61666667;38.46666667;42 415;42715000001;105016;70.67;140.0;747467;399770—399788;UTC+3;Липецкая область;42;1156221.0;24047.0;Липецк;Центральный федеральный округ;105016;105016;
Ачинск;Ачинск;Красноярский;https://ru.wikipedia.org/wiki/%D0%90%D1%87%D0%B8%D0%BD%D1%81%D0%BA;56.26666667;90.5;4 403;04703000001;105364;103.21;220.0;739151;662150—662165;UTC+7;Красноярский край;4;2875301.0;2366797.0;Красноярск;Сибирский федеральный округ;105264;105264;
Евпатория;Евпатория;Крым;https://ru.wikipedia.org/wiki/%D0%95%D0%B2%D0%BF%D0%B0%D1%82%D0%BE%D1%80%D0%B8%D1%8F;45.2;33.35833333;;35712000001;106158;290.6;3.0;736569;;UTC+3;Крым;35;1912168.0;26081.0;Симферополь;Крымский федеральный округ;106158;106158;
Пушкино;Пушкино;Московская;https://ru.wikipedia.org/wiki/%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D0%BE;56.01666667;37.85;46 247 501;46647101001;106577;60.33;160.0;"+7 496 53
+7 496 58";;UTC+3;Московская область;46;7423470.0;44329.0;Красногорск;Центральный федеральный округ;106577;106577;
Артем;Артём;Приморский;https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%82%D1%91%D0%BC_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);43.35;13.03638889;5 405 000;05705000001;106732;506.4;23.0;742337;;UTC+10;Приморский край;5;1923116.0;164673.0;Владивосток;Дальневосточный федеральный округ;106732;106732;
Ноябрьск;Ноябрьск;Ямало-Ненецкий;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%8F%D0%B1%D1%80%D1%8C%D1%81%D0%BA;63.20166667;75.45166667;71 178;71958000001;106879;38.84;115.0;73496;;UTC+5;Ямало-Ненецкий АО;71140;536049.0;769250.0;Салехард;Уральский федеральный округ;;;
Ессентуки;Ессентуки;Ставропольский;https://ru.wikipedia.org/wiki/%D0%95%D1%81%D1%81%D0%B5%D0%BD%D1%82%D1%83%D0%BA%D0%B8;44.04305556;42.86444444;7 410;07710000001;107104;50.0;640.0;787934;357601;UTC+3;Ставропольский край;7;2804383.0;66160.0;Ставрополь;Северо–Кавказский федеральный округ;107404;107404;
Северск;Северск;Томская;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D1%81%D0%BA;56.6;84.85;69 541;69741000001;107922;48.57;90.0;73823;;UTC+7;Томская область;69;1078891.0;314391.0;Томск;Сибирский федеральный округ;107922;107922;
Новошахтинск;Новошахтинск;Ростовская;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D1%88%D0%B0%D1%85%D1%82%D0%B8%D0%BD%D1%81%D0%BA;47.76666667;39.91666667;60 430;60730000001;108782;136.0;130.0;786369;346900;UTC+3;Ростовская область;60;4231355.0;100967.0;Ростов-на-Дону;Южный федеральный округ;108782;108782;
Жуковский;Жуковский;Московская;https://ru.wikipedia.org/wiki/%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_(%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);55.60111111;38.11611111;46 425;46725000001;108980;47.23;130.0;+7 49848[4];;UTC+3;Московская область;46;7423470.0;44329.0;Красногорск;Центральный федеральный округ;108980;108980;
Муром;Муром;Владимирская;https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%80%D0%BE%D0%BC;55.5725;42.05138889;17 435;17735000001;109809;43.78;115.0;749234;;UTC+3;Владимирская область;17;1389599.0;29084.0;Владимир;Центральный федеральный округ;109809;109809;
Камышин;Камышин;Волгоградская;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D1%8B%D1%88%D0%B8%D0%BD;50.08333333;45.4;18 415;18715000001;111775;81.0;50.0;784457;;UTC+3;Волгоградская область;18;2535202.0;112877.0;Волгоград;Южный федеральный округ;111775;111775;
Раменское;Раменское;Московская;https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%BC%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B5;55.56666667;38.21666667;46 248 501;46648101001;112989;59.46;125.0;+7 496 4 (все номера начинаются с 6 и 7);;UTC+3;Московская область;46;7423470.0;44329.0;Красногорск;Центральный федеральный округ;112989;112989;
