;href;name;people;reg;lat;long;okato;oktmo;phone_code;post_ind;square;timezone
20;https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_(%D0%90%D0%BB%D1%82%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);Михайловское;10756;1;51.82388889;79.71722222;1227816001;1627416101;738570;;0;UTC+7
21;https://ru.wikipedia.org/wiki/%D0%97%D0%BC%D0%B5%D0%B8%D0%BD%D0%BE%D0%B3%D0%BE%D1%80%D1%81%D0%BA;Змеиногорск;10575;1;51.16666667;82.16666667;1214501000;1614101001;738587;658480;0;UTC+7
22;https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D1%87%D0%B8%D1%85%D0%B0_(%D0%90%D0%BB%D1%82%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);Волчиха;10011;1;52.01666667;80.36666667;1208821001;1608421101;738565;658930–658933;0;UTC+7
23;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80;Краснодар;881476;3;45.03333333;38.98333333;3401;3701000001;7861;;0;
24;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%87%D0%B8;Сочи;411524;3;43.58527778;39.72027778;3426;3726000001;7862;;0;UTC+3
25;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA;Новороссийск;270774;3;44.71666667;37.76666667;3420;3720000001;78617;;0;UTC+3
26;https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%80_(%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F);Армавир;190871;3;45;41.11666667;3405;3705000001;786137;352900;0;UTC+3
27;https://ru.wikipedia.org/wiki/%D0%95%D0%B9%D1%81%D0%BA;Ейск;84259;3;46.71055556;38.27777778;3411;3616101001;786132;;0;UTC+3
28;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%BE%D0%BF%D0%BE%D1%82%D0%BA%D0%B8%D0%BD_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);Кропоткин;79152;3;45.43333333;40.56666667;3414;3618101001;786138;352380–352396;0;UTC+3
29;https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B0%D0%BF%D0%B0;Анапа;75375;3;44.89444444;37.31666667;3403000000;3703000001;786133;;0;UTC+3
30;https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BB%D0%B5%D0%BD%D0%B4%D0%B6%D0%B8%D0%BA;Геленджик;74887;3;44.56083333;38.07666667;3408;3708000001;786141;;0;UTC+3
31;https://ru.wikipedia.org/wiki/%D0%A1%D0%BB%D0%B0%D0%B2%D1%8F%D0%BD%D1%81%D0%BA-%D0%BD%D0%B0-%D0%9A%D1%83%D0%B1%D0%B0%D0%BD%D0%B8;Славянск-на-Кубани;66014;3;45.25861111;38.12472222;3423000;3645101001;786146;353560;0;UTC+3
