;href;lat;long;name;name_reg;norm_name;norm_reg;oktmo;people;phone_code;post_ind;reg;square;timezone
18;https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%B1%D0%B8%D1%80%D1%81%D0%BA%D0%B8%D0%B9_(%D0%90%D0%BB%D1%82%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);53.55694444;83.83833333;Сибирский;Алтайский край;Сибирский;Алтайский;1755000051;11896;738532;658076;1.0;0.0;UTC+7
19;https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%D0%B2%D0%B5%D1%89%D0%B5%D0%BD%D0%BA%D0%B0;52.83333333;79.86666667;Благовещенка;Алтайский край;Благовещенка;Алтайский;1605151051;11577;738564;658670;1.0;0.0;UTC+7
20;https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_(%D0%90%D0%BB%D1%82%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);51.82388889;79.71722222;Михайловское;Алтайский край;Михайловское;Алтайский;1627416101;10756;738570;;1.0;0.0;UTC+7
21;https://ru.wikipedia.org/wiki/%D0%97%D0%BC%D0%B5%D0%B8%D0%BD%D0%BE%D0%B3%D0%BE%D1%80%D1%81%D0%BA;51.16666667;82.16666667;Змеиногорск;Алтайский край;Змеиногорск;Алтайский;1614101001;10575;738587;658480;1.0;0.0;UTC+7
22;https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D1%87%D0%B8%D1%85%D0%B0_(%D0%90%D0%BB%D1%82%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);52.01666667;80.36666667;Волчиха;Алтайский край;Волчиха;Алтайский;1608421101;10011;738565;658930–658933;1.0;0.0;UTC+7
23;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80;45.03333333;38.98333333;Краснодар;Краснодарский край;Краснодар;Краснодарский;3701000001;881476;7861;;3.0;0.0;
24;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%87%D0%B8;43.58527778;39.72027778;Сочи;Краснодарский край;Сочи;Краснодарский;3726000001;411524;7862;;3.0;0.0;UTC+3
25;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA;44.71666667;37.76666667;Новороссийск;Краснодарский край;Новороссийск;Краснодарский;3720000001;270774;78617;;3.0;0.0;UTC+3
26;https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%80_(%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F);45.0;41.11666667;Армавир;Краснодарский край;Армавир;Краснодарский;3705000001;190871;786137;352900;3.0;0.0;UTC+3
27;https://ru.wikipedia.org/wiki/%D0%95%D0%B9%D1%81%D0%BA;46.71055556;38.27777778;Ейск;Краснодарский край;Ейск;Краснодарский;3616101001;84259;786132;;3.0;0.0;UTC+3
